param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
250 1.468 0.011 1.456 1.471 0.004 1.466 0.004 0. 0.004 0.942 0.011 0.93 0.521 0. 0.521 0.558 0. 0.557 0.907 0.004 0.903 0.005 0. 0.004
260 1.516 0. 1.516 1.498 0. 1.498 0.004 0. 0.004 0.941 0. 0.94 0.568 0. 0.568 0.583 0. 0.583 0.908 0. 0.908 0.005 0. 0.005
270 1.61 0.003 1.606 1.698 0.003 1.692 0.004 0. 0.004 0.988 0.003 0.984 0.615 0. 0.615 0.697 0. 0.697 0.992 0.003 0.987 0.005 0. 0.005
280 1.855 0. 1.855 1.881 0. 1.881 0.005 0. 0.005 1.109 0. 1.109 0.739 0. 0.739 0.73 0. 0.73 1.144 0. 1.143 0.004 0. 0.004
290 1.874 0.012 1.861 1.994 0.015 1.978 0.004 0. 0.004 1.116 0.008 1.108 0.75 0.004 0.746 0.728 0.008 0.72 1.257 0.007 1.249 0.006 0. 0.006
300 2.112 0.011 2.099 2.205 0.015 2.189 0.005 0. 0.005 1.263 0.007 1.255 0.842 0.003 0.837 0.853 0.011 0.841 1.345 0.003 1.341 0.005 0. 0.005
310 2.277 0.008 2.268 2.239 0.004 2.235 0.006 0. 0.006 1.361 0.008 1.353 0.907 0. 0.907 0.846 0. 0.846 1.384 0.004 1.379 0.007 0. 0.007
320 2.556 0. 2.555 2.546 0. 2.546 0.006 0. 0.006 1.619 0. 1.618 0.928 0. 0.928 0.98 0. 0.98 1.556 0. 1.555 0.007 0. 0.007
330 2.637 0.004 2.632 2.494 0. 2.493 0.009 0. 0.009 1.644 0. 1.644 0.98 0.003 0.976 0.912 0. 0.912 1.57 0. 1.57 0.008 0. 0.008
340 2.866 0. 2.865 2.749 0. 2.749 0.006 0. 0.006 1.75 0. 1.749 1.107 0. 1.106 1.05 0. 1.05 1.689 0. 1.689 0.007 0. 0.007
350 2.987 0.02 2.966 2.944 0.016 2.928 0.007 0. 0.007 1.929 0.011 1.916 1.049 0.008 1.041 1.056 0.012 1.043 1.878 0.003 1.874 0.008 0. 0.008
360 3.26 0. 3.259 3.09 0. 3.089 0.007 0. 0.007 2.062 0. 2.061 1.188 0. 1.188 1.101 0. 1.1 1.978 0. 1.978 0.007 0. 0.007
370 3.555 0.003 3.55 3.367 0. 3.367 0.008 0. 0.008 2.222 0.003 2.217 1.322 0. 1.322 1.283 0. 1.283 2.073 0. 2.072 0.009 0. 0.009
