param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
190 1.053 0. 1.053 0.619 0. 0.619 0.368 0. 0.368 0.254 0. 0.254 0.68 0. 0.68 0.003 0. 0.003 0.36 0. 0.36 0.003 0. 0.003
200 1.16 0.015 1.144 0.778 0.016 0.762 0.376 0.007 0.368 0.295 0.004 0.291 0.779 0.007 0.772 0.003 0. 0.003 0.478 0.011 0.466 0.003 0. 0.003
210 1.376 0. 1.376 0.814 0. 0.814 0.427 0. 0.427 0.35 0. 0.35 0.943 0. 0.943 0.003 0. 0.003 0.459 0. 0.459 0.003 0. 0.003
220 1.413 0. 1.413 0.907 0.003 0.903 0.463 0. 0.463 0.374 0.003 0.37 0.944 0. 0.944 0.003 0. 0.003 0.527 0. 0.527 0.004 0. 0.004
230 1.632 0. 1.632 0.938 0.003 0.934 0.566 0. 0.566 0.374 0.003 0.37 1.06 0. 1.06 0.004 0. 0.004 0.558 0. 0.558 0.004 0. 0.004
240 1.756 0.027 1.727 1.04 0.007 1.032 0.559 0.003 0.555 0.407 0. 0.407 1.19 0.023 1.166 0.004 0. 0.004 0.626 0.007 0.618 0.004 0. 0.004
250 1.89 0.007 1.882 1.193 0.01 1.182 0.647 0.003 0.643 0.481 0. 0.48 1.236 0.004 1.232 0.004 0. 0.004 0.706 0.01 0.696 0.004 0. 0.004
260 2.001 0. 2.001 1.236 0. 1.236 0.639 0. 0.639 0.505 0. 0.505 1.353 0. 1.353 0.007 0. 0.007 0.72 0. 0.72 0.008 0. 0.008
270 2.262 0. 2.262 1.337 0. 1.337 0.703 0. 0.703 0.504 0. 0.504 1.552 0. 1.551 0.005 0. 0.005 0.819 0. 0.819 0.012 0. 0.012
280 2.329 0. 2.329 1.42 0. 1.42 0.746 0. 0.746 0.556 0. 0.556 1.575 0. 1.575 0.005 0. 0.005 0.856 0. 0.856 0.005 0. 0.005
290 2.796 0. 2.796 1.536 0. 1.536 0.874 0. 0.874 0.604 0. 0.604 1.905 0. 1.905 0.014 0. 0.014 0.924 0. 0.924 0.006 0. 0.006
300 2.799 0.035 2.762 1.686 0.015 1.67 0.856 0.003 0.852 0.618 0.007 0.61 1.935 0.031 1.903 0.006 0. 0.006 1.059 0.007 1.052 0.006 0. 0.006
310 2.874 0. 2.873 1.804 0. 1.804 0.915 0. 0.915 0.684 0. 0.684 1.949 0. 1.949 0.006 0. 0.006 1.11 0. 1.11 0.007 0. 0.007
320 3.228 0.007 3.22 2.176 0.007 2.168 0.99 0. 0.99 0.775 0. 0.775 2.229 0.007 2.221 0.007 0. 0.007 1.391 0.007 1.383 0.007 0. 0.007
330 3.457 0.015 3.441 2.057 0. 2.056 1.085 0. 1.085 0.756 0. 0.756 2.362 0.015 2.345 0.007 0. 0.007 1.288 0. 1.288 0.01 0. 0.01
340 3.651 0. 3.649 2.232 0. 2.232 1.108 0. 1.108 0.866 0. 0.866 2.532 0. 2.53 0.008 0. 0.008 1.355 0. 1.355 0.008 0. 0.008
350 3.879 0.004 3.874 2.435 0.036 2.398 1.245 0. 1.245 0.931 0.003 0.927 2.616 0.003 2.612 0.016 0. 0.016 1.493 0.031 1.461 0.008 0. 0.008
360 4.1 0.003 4.096 2.498 0.015 2.482 1.342 0. 1.342 0.911 0.008 0.903 2.737 0.003 2.733 0.018 0. 0.018 1.576 0.007 1.568 0.009 0. 0.009
370 4.345 0.019 4.325 2.744 0.003 2.74 1.313 0.008 1.305 1.023 0. 1.023 3.021 0.011 3.009 0.009 0. 0.009 1.701 0.003 1.697 0.016 0. 0.016
380 4.686 0.015 4.669 2.737 0. 2.737 1.394 0.003 1.389 1.012 0. 1.012 3.28 0.011 3.268 0.009 0. 0.009 1.713 0. 1.713 0.01 0. 0.01
390 5.268 0.004 5.264 3.041 0. 3.041 1.577 0. 1.577 1.137 0. 1.137 3.678 0.003 3.674 0.01 0. 0.01 1.889 0. 1.889 0.012 0. 0.012
400 5.213 0.019 5.192 3.107 0.019 3.087 1.528 0. 1.528 1.133 0.003 1.129 3.672 0.019 3.652 0.01 0. 0.01 1.962 0.015 1.946 0.01 0. 0.01
